epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
0,49,1.2695763111114502,,,,,,,,,
0,99,1.3363690376281738,,,,,,,,,
0,149,1.3193118572235107,,,,,,,,,
0,199,1.3856596946716309,,,,,,,,,
0,249,1.1778349876403809,,,,,,,,,
0,299,1.1392782926559448,,,,,,,,,
0,344,,0.903508722782135,0.8570142984390259,0.7680259943008423,0.6330257654190063,0.44962894916534424,0.9707590341567993,16.904733657836914,0.5641841888427734,1.2182389497756958
1,349,1.1009273529052734,,,,,,,,,
1,399,1.1887733936309814,,,,,,,,,
1,449,0.9661737680435181,,,,,,,,,
1,499,1.1701865196228027,,,,,,,,,
1,549,1.0034821033477783,,,,,,,,,
1,599,1.031941294670105,,,,,,,,,
1,649,1.0513181686401367,,,,,,,,,
1,689,,0.9086108207702637,0.8708391785621643,0.7767634987831116,0.6286337375640869,0.4332576096057892,0.9115962982177734,18.045551300048828,0.534623384475708,1.1760845184326172
2,699,0.8817551136016846,,,,,,,,,
2,749,0.8064855933189392,,,,,,,,,
2,799,0.8076025247573853,,,,,,,,,
2,849,0.9106380343437195,,,,,,,,,
2,899,0.7912601828575134,,,,,,,,,
2,949,0.9164414405822754,,,,,,,,,
2,999,0.831932783126831,,,,,,,,,
2,1034,,0.9087898135185242,0.8856239914894104,0.7859312295913696,0.6207265257835388,0.4409586489200592,0.9272652268409729,17.673751831054688,0.5439538359642029,1.214959740638733
3,1049,0.9125008583068848,,,,,,,,,
3,1099,0.8328250646591187,,,,,,,,,
3,1149,0.8604608774185181,,,,,,,,,
3,1199,0.7850863933563232,,,,,,,,,
3,1249,0.8188042640686035,,,,,,,,,
3,1299,0.8039208650588989,,,,,,,,,
3,1349,0.8107479214668274,,,,,,,,,
3,1379,,0.9138023853302002,0.8970677852630615,0.7872141003608704,0.6208037734031677,0.44160065054893494,0.9242995977401733,17.02106475830078,0.5472043752670288,1.2383060455322266
4,1399,0.8373538255691528,,,,,,,,,
4,1449,0.79632169008255,,,,,,,,,
4,1499,0.65512615442276,,,,,,,,,
4,1549,0.7527997493743896,,,,,,,,,
4,1599,0.7516200542449951,,,,,,,,,
4,1649,0.7462227940559387,,,,,,,,,
4,1699,0.7190338969230652,,,,,,,,,
4,1724,,0.9121911525726318,0.9035672545433044,0.7979850769042969,0.6164820790290833,0.4543929696083069,0.9472886919975281,17.852935791015625,0.5660737752914429,1.2381534576416016
5,1749,0.7678486704826355,,,,,,,,,
5,1799,0.7250313758850098,,,,,,,,,
5,1849,0.7718183994293213,,,,,,,,,
5,1899,0.7716525793075562,,,,,,,,,
5,1949,0.7598608136177063,,,,,,,,,
5,1999,0.7757771015167236,,,,,,,,,
5,2049,0.6987149715423584,,,,,,,,,
5,2069,,0.912996768951416,0.9104313254356384,0.8022959232330322,0.6130489110946655,0.48313650488853455,0.9660705327987671,17.81855010986328,0.6141836643218994,1.2670634984970093
6,2099,0.6877254247665405,,,,,,,,,
6,2149,0.6187376976013184,,,,,,,,,
6,2199,0.6908816695213318,,,,,,,,,
6,2249,0.7050467729568481,,,,,,,,,
6,2299,0.6730062365531921,,,,,,,,,
6,2349,0.820572555065155,,,,,,,,,
6,2399,0.803294837474823,,,,,,,,,
6,2414,,0.9188148975372314,0.913387656211853,0.804309606552124,0.6092990636825562,0.4653704762458801,0.9692779779434204,18.537593841552734,0.5705374479293823,1.253807544708252
7,2449,0.7222483158111572,,,,,,,,,
7,2499,0.6264323592185974,,,,,,,,,
7,2549,0.7029010057449341,,,,,,,,,
7,2599,0.7015799283981323,,,,,,,,,
7,2649,0.6987200379371643,,,,,,,,,
7,2699,0.7820693850517273,,,,,,,,,
7,2749,0.6704587936401367,,,,,,,,,
7,2759,,0.9089688658714294,0.9145155549049377,0.8159728050231934,0.6089324951171875,0.466511607170105,0.9638314843177795,17.472896575927734,0.592814028263092,1.269789695739746
8,2799,0.7069327235221863,,,,,,,,,
8,2849,0.6771056056022644,,,,,,,,,
8,2899,0.6961011290550232,,,,,,,,,
8,2949,0.5953041911125183,,,,,,,,,
8,2999,0.6639595627784729,,,,,,,,,
8,3049,0.6867127418518066,,,,,,,,,
8,3099,0.7061686515808105,,,,,,,,,
8,3104,,0.9096850156784058,0.9144871234893799,0.8090185523033142,0.607659637928009,0.467250257730484,0.9596977829933167,17.932558059692383,0.5927074551582336,1.2850826978683472
9,3149,0.767530083656311,,,,,,,,,
9,3199,0.7371155619621277,,,,,,,,,
9,3249,0.7300878763198853,,,,,,,,,
9,3299,0.649373471736908,,,,,,,,,
9,3349,0.8598730564117432,,,,,,,,,
9,3399,0.7623556852340698,,,,,,,,,
9,3449,0.6648015379905701,,,,,,,,,
9,3449,,0.9071338772773743,0.9168539047241211,0.8194308876991272,0.6075869202613831,0.4638771116733551,0.9651261568069458,17.626022338867188,0.579833984375,1.2794169187545776
10,3499,0.7796288132667542,,,,,,,,,
10,3549,0.698189914226532,,,,,,,,,
10,3599,0.7035660147666931,,,,,,,,,
10,3649,0.7184693813323975,,,,,,,,,
10,3699,0.6686510443687439,,,,,,,,,
10,3749,0.8162146210670471,,,,,,,,,
10,3794,,0.905701756477356,0.921657383441925,0.8208801746368408,0.6054731011390686,0.49579116702079773,0.9765505194664001,17.770647048950195,0.6205273270606995,1.2536869049072266
11,3799,0.7032678127288818,,,,,,,,,
11,3849,0.7257060408592224,,,,,,,,,
11,3899,0.6812029480934143,,,,,,,,,
11,3949,0.7180602550506592,,,,,,,,,
11,3999,0.6918610334396362,,,,,,,,,
11,4049,0.7563444972038269,,,,,,,,,
11,4099,0.7312723398208618,,,,,,,,,
11,4139,,0.907447099685669,0.9224832653999329,0.8219622373580933,0.6068301200866699,0.512115478515625,1.042206883430481,18.807809829711914,0.6335795521736145,1.324641466140747
12,4149,0.6897332668304443,,,,,,,,,
12,4199,0.7399839758872986,,,,,,,,,
12,4249,0.6692649126052856,,,,,,,,,
12,4299,0.683846652507782,,,,,,,,,
12,4349,0.6134378910064697,,,,,,,,,
12,4399,0.6737074851989746,,,,,,,,,
12,4449,0.7249177694320679,,,,,,,,,
12,4484,,0.9018976092338562,0.9211033582687378,0.8235495090484619,0.6051374673843384,0.4752149283885956,0.9799854159355164,17.999563217163086,0.5894719958305359,1.279441475868225
13,4499,0.7030928134918213,,,,,,,,,
13,4549,0.6455013751983643,,,,,,,,,
13,4599,0.669200599193573,,,,,,,,,
13,4649,0.651005744934082,,,,,,,,,
13,4699,0.6562032699584961,,,,,,,,,
13,4749,0.7274654507637024,,,,,,,,,
13,4799,0.6767286658287048,,,,,,,,,
13,4829,,0.9057464599609375,0.9200495481491089,0.8297926187515259,0.6066814064979553,0.48928800225257874,0.9925979375839233,18.136550903320312,0.62645024061203,1.293564796447754
14,4849,0.737116277217865,,,,,,,,,
14,4899,0.7121029496192932,,,,,,,,,
14,4949,0.6553550958633423,,,,,,,,,
14,4999,0.743212878704071,,,,,,,,,
14,5049,0.6951969861984253,,,,,,,,,
14,5099,0.6908704042434692,,,,,,,,,
14,5149,0.652805507183075,,,,,,,,,
14,5174,,0.8959451913833618,0.9227823615074158,0.8287920355796814,0.6038564443588257,0.5149861574172974,0.9885349273681641,17.3872127532959,0.6508641839027405,1.292880654335022
15,5199,0.6865665912628174,,,,,,,,,
15,5249,0.6330924034118652,,,,,,,,,
15,5299,0.69819176197052,,,,,,,,,
15,5349,0.6801564693450928,,,,,,,,,
15,5399,0.6003639698028564,,,,,,,,,
15,5449,0.6309216618537903,,,,,,,,,
15,5499,0.659843921661377,,,,,,,,,
15,5519,,0.8861886858940125,0.9220404624938965,0.8232598900794983,0.6065579652786255,0.5142271518707275,0.962485134601593,17.693342208862305,0.6525841951370239,1.2795965671539307
16,5549,0.6676847338676453,,,,,,,,,
16,5599,0.7108721137046814,,,,,,,,,
16,5649,0.6696116924285889,,,,,,,,,
16,5699,0.6816961169242859,,,,,,,,,
16,5749,0.6596798896789551,,,,,,,,,
16,5799,0.6326096653938293,,,,,,,,,
16,5849,0.6097471117973328,,,,,,,,,
16,5864,,0.900734007358551,0.9232152700424194,0.8351720571517944,0.6019357442855835,0.49445390701293945,0.979451596736908,17.702688217163086,0.6267296671867371,1.285399317741394
17,5899,0.6528147459030151,,,,,,,,,
17,5949,0.6885705590248108,,,,,,,,,
17,5999,0.7872229814529419,,,,,,,,,
17,6049,0.6578160524368286,,,,,,,,,
17,6099,0.5924522876739502,,,,,,,,,
17,6149,0.7387986183166504,,,,,,,,,
17,6199,0.6161661148071289,,,,,,,,,
17,6209,,0.9008682370185852,0.9186596870422363,0.8300552368164062,0.6069732904434204,0.5099979639053345,0.9920462965965271,18.05211067199707,0.6452004909515381,1.285238265991211
18,6249,0.6059184670448303,,,,,,,,,
18,6299,0.6716804504394531,,,,,,,,,
18,6349,0.5922390818595886,,,,,,,,,
18,6399,0.682396411895752,,,,,,,,,
18,6449,0.7084539532661438,,,,,,,,,
18,6499,0.688613772392273,,,,,,,,,
18,6549,0.6827324032783508,,,,,,,,,
18,6554,,0.8868152499198914,0.9198088645935059,0.8338583111763,0.6057183146476746,0.48779532313346863,0.976542055606842,18.127412796020508,0.6197181344032288,1.2814596891403198
19,6599,0.7250041961669922,,,,,,,,,
19,6649,0.6974579691886902,,,,,,,,,
19,6699,0.6703172922134399,,,,,,,,,
19,6749,0.6286700367927551,,,,,,,,,
19,6799,0.7249817252159119,,,,,,,,,
19,6849,0.6347690224647522,,,,,,,,,
19,6899,0.6633668541908264,,,,,,,,,
19,6899,,0.8987647891044617,0.9213155508041382,0.8391871452331543,0.6054565906524658,0.4882949888706207,0.9940087199211121,18.18216896057129,0.6286265850067139,1.2970683574676514
20,6949,0.6956865787506104,,,,,,,,,
20,6999,0.5852928161621094,,,,,,,,,
20,7049,0.6496873497962952,,,,,,,,,
20,7099,0.6897474527359009,,,,,,,,,
20,7149,0.6256209015846252,,,,,,,,,
20,7199,0.6958491802215576,,,,,,,,,
20,7244,,0.8914249539375305,0.9219393730163574,0.8423087000846863,0.6061999797821045,0.4985816776752472,0.9771029353141785,18.006702423095703,0.6378355622291565,1.266247034072876
21,7249,0.6224484443664551,,,,,,,,,
21,7299,0.6638436317443848,,,,,,,,,
21,7349,0.6139618754386902,,,,,,,,,
21,7399,0.6333993673324585,,,,,,,,,
21,7449,0.682456374168396,,,,,,,,,
21,7499,0.6201416254043579,,,,,,,,,
21,7549,0.6651678085327148,,,,,,,,,
21,7589,,0.8838167190551758,0.9246962666511536,0.83818519115448,0.603432297706604,0.5075129270553589,0.9660810828208923,17.780540466308594,0.6393077373504639,1.2594900131225586
22,7599,0.6687027812004089,,,,,,,,,
22,7649,0.6743167638778687,,,,,,,,,
22,7699,0.7145896553993225,,,,,,,,,
22,7749,0.6377308964729309,,,,,,,,,
22,7799,0.6339426040649414,,,,,,,,,
22,7849,0.7145060300827026,,,,,,,,,
22,7899,0.7334713935852051,,,,,,,,,
22,7934,,0.8813999891281128,0.9230629205703735,0.8398562669754028,0.6038330793380737,0.5092583894729614,0.983906626701355,17.20409393310547,0.6409773826599121,1.2698493003845215
23,7949,0.6116517186164856,,,,,,,,,
23,7999,0.6275998950004578,,,,,,,,,
23,8049,0.666283130645752,,,,,,,,,
23,8099,0.6307775974273682,,,,,,,,,
23,8149,0.7096906900405884,,,,,,,,,
23,8199,0.6876124739646912,,,,,,,,,
23,8249,0.7075932025909424,,,,,,,,,
23,8279,,0.8865019679069519,0.925079345703125,0.8362059593200684,0.6015283465385437,0.5065065622329712,1.0019030570983887,18.169103622436523,0.6305450797080994,1.293806791305542
24,8299,0.6385675668716431,,,,,,,,,
24,8349,0.6135245561599731,,,,,,,,,
24,8399,0.6576917171478271,,,,,,,,,
24,8449,0.6771710515022278,,,,,,,,,
24,8499,0.6133620738983154,,,,,,,,,
24,8549,0.6801410913467407,,,,,,,,,
24,8599,0.6455284953117371,,,,,,,,,
24,8624,,0.8892319798469543,0.9219279289245605,0.8345324397087097,0.6024637818336487,0.5323829650878906,0.972358226776123,17.488582611083984,0.6747480630874634,1.2703903913497925
25,8649,0.7302318811416626,,,,,,,,,
25,8699,0.6522409319877625,,,,,,,,,
25,8749,0.6012842059135437,,,,,,,,,
25,8799,0.6953833699226379,,,,,,,,,
25,8849,0.672781229019165,,,,,,,,,
25,8899,0.66679447889328,,,,,,,,,
25,8949,0.682725191116333,,,,,,,,,
25,8969,,0.881892204284668,0.9265148639678955,0.8368826508522034,0.606709361076355,0.5138060450553894,0.9825341105461121,17.652990341186523,0.6553747653961182,1.293870210647583
26,8999,0.5940002202987671,,,,,,,,,
26,9049,0.663593590259552,,,,,,,,,
26,9099,0.6068147420883179,,,,,,,,,
26,9149,0.7289319634437561,,,,,,,,,
26,9199,0.6273850202560425,,,,,,,,,
26,9249,0.6325891613960266,,,,,,,,,
26,9299,0.6811160445213318,,,,,,,,,
26,9314,,0.8746867179870605,0.9253627061843872,0.8333494663238525,0.6064450144767761,0.4997798800468445,0.9625339508056641,17.753854751586914,0.6305398344993591,1.2546255588531494
27,9349,0.6060149669647217,,,,,,,,,
27,9399,0.65129154920578,,,,,,,,,
27,9449,0.6505765914916992,,,,,,,,,
27,9499,0.6127389669418335,,,,,,,,,
27,9549,0.6512500643730164,,,,,,,,,
27,9599,0.7075470685958862,,,,,,,,,
27,9649,0.6313881874084473,,,,,,,,,
27,9659,,0.8846670389175415,0.9244356751441956,0.8372461795806885,0.605976402759552,0.509687066078186,0.9905270934104919,17.404136657714844,0.6493818163871765,1.2867405414581299
28,9699,0.6457638740539551,,,,,,,,,
28,9749,0.6601449847221375,,,,,,,,,
28,9799,0.6588351130485535,,,,,,,,,
28,9849,0.5677304863929749,,,,,,,,,
28,9899,0.6585196256637573,,,,,,,,,
28,9949,0.6128489375114441,,,,,,,,,
28,9999,0.7030603885650635,,,,,,,,,
