epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
0,49,1.5203163623809814,,,,,,,,,,,
0,99,1.4619193077087402,,,,,,,,,,,
0,149,1.2179136276245117,,,,,,,,,,,
0,199,1.1371307373046875,,,,,,,,,,,
0,249,1.080707311630249,,,,,,,,,,,
0,299,1.192285180091858,,,,,,,,,,,
0,344,,0.8882026076316833,0.8547386527061462,0.768367350101471,0.6348305940628052,0.4615728259086609,0.9777823090553284,0.33421656489372253,1.4957958459854126,0.9793143272399902,0.5781146287918091,1.2230273485183716
1,349,1.125390887260437,,,,,,,,,,,
1,399,1.056888461112976,,,,,,,,,,,
1,449,1.0016945600509644,,,,,,,,,,,
1,499,1.007805585861206,,,,,,,,,,,
1,549,1.1007676124572754,,,,,,,,,,,
1,599,1.1208279132843018,,,,,,,,,,,
1,649,0.9163779020309448,,,,,,,,,,,
1,689,,0.9065520763397217,0.8731263279914856,0.7800281047821045,0.626421332359314,0.4123722314834595,0.9416175484657288,0.25466758012771606,1.4517592191696167,0.9368628859519958,0.5046460032463074,1.2048897743225098
2,699,1.0539547204971313,,,,,,,,,,,
2,749,0.991482138633728,,,,,,,,,,,
2,799,0.9772454500198364,,,,,,,,,,,
2,849,0.9503070116043091,,,,,,,,,,,
2,899,0.9680172204971313,,,,,,,,,,,
2,949,0.9092177152633667,,,,,,,,,,,
2,999,0.9708679914474487,,,,,,,,,,,
2,1034,,0.9057465195655823,0.8846099972724915,0.7852435111999512,0.6225709915161133,0.45638155937194824,0.8980146050453186,0.3107062578201294,1.3470134735107422,0.9102457165718079,0.5574102997779846,1.1606091260910034
3,1049,0.9030442833900452,,,,,,,,,,,
3,1099,0.8167270421981812,,,,,,,,,,,
3,1149,0.9144350290298462,,,,,,,,,,,
3,1199,0.89035564661026,,,,,,,,,,,
3,1249,0.833971381187439,,,,,,,,,,,
3,1299,0.7968229055404663,,,,,,,,,,,
3,1349,0.8811851739883423,,,,,,,,,,,
3,1379,,0.8997941613197327,0.8917474746704102,0.7886214852333069,0.6186938285827637,0.45611363649368286,0.9070023894309998,0.2958424985408783,1.4678176641464233,0.972929835319519,0.5439140796661377,1.2115352153778076
4,1399,0.8462988138198853,,,,,,,,,,,
